kvk_id,season_id,kingdom_a,kingdom_b,prep_winner,castle_winner,attacker,defender,castle_captured,season_date,kvk_title,description,created_at,updated_at,kingdom_a_age_days,kingdom_b_age_days
846,4,222,244,244,244,244,222,true,2025-08-16,KvK #4,a,2026-01-25T23:26:58.399Z,2026-01-25T23:26:58.399Z,99,94
851,4,223,276,276,276,276,223,true,2025-08-16,KvK #4,a,2026-01-25T23:26:58.412Z,2026-01-25T23:26:58.412Z,99,88
853,4,224,266,266,224,266,224,false,2025-08-16,KvK #4,a,2026-01-25T23:26:58.418Z,2026-01-25T23:26:58.418Z,99,90
856,4,225,248,225,225,225,248,true,2025-08-16,KvK #4,a,2026-01-25T23:26:58.426Z,2026-01-25T23:26:58.426Z,99,94
862,4,227,232,232,232,232,227,true,2025-08-16,KvK #4,a,2026-01-25T23:26:58.442Z,2026-01-25T23:26:58.442Z,98,97
865,4,228,247,247,228,247,228,false,2025-08-16,KvK #4,a,2026-01-25T23:26:58.450Z,2026-01-25T23:26:58.450Z,98,94
868,4,229,258,229,229,229,258,true,2025-08-16,KvK #4,a,2026-01-25T23:26:58.458Z,2026-01-25T23:26:58.458Z,98,91
871,4,230,270,270,270,270,230,true,2025-08-16,KvK #4,a,2026-01-25T23:26:58.466Z,2026-01-25T23:26:58.466Z,98,89
877,4,235,262,235,235,235,262,true,2025-08-16,KvK #4,a,2026-01-25T23:26:58.483Z,2026-01-25T23:26:58.483Z,97,90
881,4,237,249,249,237,249,237,false,2025-08-16,KvK #4,a,2026-01-25T23:26:58.493Z,2026-01-25T23:26:58.493Z,95,93
886,4,238,260,260,260,260,238,true,2025-08-16,KvK #4,a,2026-01-25T23:26:58.506Z,2026-01-25T23:26:58.506Z,96,91
891,4,239,278,278,239,278,239,false,2025-08-16,KvK #4,a,2026-01-25T23:26:58.519Z,2026-01-25T23:26:58.519Z,96,88
902,4,242,297,242,242,242,297,true,2025-08-16,KvK #4,a,2026-01-25T23:26:58.549Z,2026-01-25T23:26:58.549Z,95,83
905,4,243,254,243,254,243,254,false,2025-08-16,KvK #4,a,2026-01-25T23:26:58.557Z,2026-01-25T23:26:58.557Z,94,92
913,4,245,265,265,265,265,245,true,2025-08-16,KvK #4,a,2026-01-25T23:26:58.579Z,2026-01-25T23:26:58.579Z,94,90
918,4,246,281,281,281,281,246,true,2025-08-16,KvK #4,a,2026-01-25T23:26:58.594Z,2026-01-25T23:26:58.594Z,94,87
940,4,252,283,283,252,283,252,false,2025-08-16,KvK #4,a,2026-01-25T23:26:58.654Z,2026-01-25T23:26:58.654Z,93,87
943,4,253,299,253,253,253,299,true,2025-08-16,KvK #4,a,2026-01-25T23:26:58.665Z,2026-01-25T23:26:58.665Z,93,84
952,4,255,354,255,255,255,354,true,2025-08-16,KvK #4,a,2026-01-25T23:26:58.690Z,2026-01-25T23:26:58.690Z,92,77
957,4,256,275,256,256,256,275,true,2025-08-16,KvK #4,a,2026-01-25T23:26:58.706Z,2026-01-25T23:26:58.706Z,92,88
961,4,257,264,257,264,257,264,false,2025-08-16,KvK #4,a,2026-01-25T23:26:58.717Z,2026-01-25T23:26:58.717Z,92,90
968,4,259,269,269,259,269,259,false,2025-08-16,KvK #4,a,2026-01-25T23:26:58.736Z,2026-01-25T23:26:58.736Z,91,89
976,4,261,268,261,268,261,268,false,2025-08-16,KvK #4,a,2026-01-25T23:26:58.755Z,2026-01-25T23:26:58.755Z,91,90
983,4,263,272,272,272,272,263,true,2025-08-16,KvK #4,a,2026-01-25T23:26:58.773Z,2026-01-25T23:26:58.773Z,90,89
993,4,267,322,267,267,267,322,true,2025-08-16,KvK #4,a,2026-01-25T23:26:58.801Z,2026-01-25T23:26:58.801Z,90,81
1000,4,271,274,271,274,271,274,false,2025-08-16,KvK #4,a,2026-01-25T23:26:58.822Z,2026-01-25T23:26:58.822Z,89,88
1017,4,277,294,277,294,277,294,false,2025-08-16,KvK #4,a,2026-01-25T23:26:58.867Z,2026-01-25T23:26:58.867Z,88,85
1025,4,279,300,279,279,279,300,true,2025-08-16,KvK #4,a,2026-01-25T23:26:58.886Z,2026-01-25T23:26:58.886Z,87,84
1029,4,280,323,323,323,323,280,true,2025-08-16,KvK #4,a,2026-01-25T23:26:58.896Z,2026-01-25T23:26:58.896Z,87,81
1035,4,282,321,321,321,321,282,true,2025-08-16,KvK #4,a,2026-01-25T23:26:58.911Z,2026-01-25T23:26:58.911Z,87,81
1039,4,284,315,315,284,315,284,false,2025-08-16,KvK #4,a,2026-01-25T23:26:58.920Z,2026-01-25T23:26:58.920Z,86,82
1041,4,285,295,285,285,285,295,true,2025-08-16,KvK #4,a,2026-01-25T23:26:58.925Z,2026-01-25T23:26:58.925Z,86,84
1044,4,286,362,362,286,362,286,false,2025-08-16,KvK #4,a,2026-01-25T23:26:58.933Z,2026-01-25T23:26:58.933Z,86,76
1047,4,287,355,287,287,287,355,true,2025-08-16,KvK #4,a,2026-01-25T23:26:58.940Z,2026-01-25T23:26:58.940Z,86,77
1050,4,288,333,288,288,288,333,true,2025-08-16,KvK #4,a,2026-01-25T23:26:58.947Z,2026-01-25T23:26:58.947Z,86,79
1053,4,289,341,289,341,289,341,false,2025-08-16,KvK #4,a,2026-01-25T23:26:58.954Z,2026-01-25T23:26:58.954Z,85,78
1056,4,290,291,291,290,291,290,false,2025-08-16,KvK #4,a,2026-01-25T23:26:58.961Z,2026-01-25T23:26:58.961Z,85,85
1063,4,292,298,298,298,298,292,true,2025-08-16,KvK #4,a,2026-01-25T23:26:58.979Z,2026-01-25T23:26:58.979Z,85,84
1064,4,293,328,293,293,293,328,true,2025-08-16,KvK #4,a,2026-01-25T23:26:58.981Z,2026-01-25T23:26:58.981Z,85,80
1068,4,296,312,312,312,312,296,true,2025-08-16,KvK #4,a,2026-01-25T23:26:58.995Z,2026-01-25T23:26:58.995Z,84,82
1076,4,301,342,301,342,301,342,false,2025-08-16,KvK #4,a,2026-01-25T23:26:59.019Z,2026-01-25T23:26:59.019Z,84,78
1078,4,302,332,302,302,302,332,true,2025-08-16,KvK #4,a,2026-01-25T23:26:59.024Z,2026-01-25T23:26:59.024Z,83,80
1080,4,303,319,303,319,303,319,false,2025-08-16,KvK #4,a,2026-01-25T23:26:59.030Z,2026-01-25T23:26:59.030Z,83,81
1082,4,304,317,304,304,304,317,true,2025-08-16,KvK #4,a,2026-01-25T23:26:59.035Z,2026-01-25T23:26:59.035Z,83,82
1084,4,305,353,353,353,353,305,true,2025-08-16,KvK #4,a,2026-01-25T23:26:59.040Z,2026-01-25T23:26:59.040Z,83,77
1086,4,306,314,306,306,306,314,true,2025-08-16,KvK #4,a,2026-01-25T23:26:59.045Z,2026-01-25T23:26:59.045Z,83,82
1088,4,307,331,331,331,331,307,true,2025-08-16,KvK #4,a,2026-01-25T23:26:59.050Z,2026-01-25T23:26:59.050Z,82,80
1091,4,308,346,308,308,308,346,true,2025-08-16,KvK #4,a,2026-01-25T23:26:59.057Z,2026-01-25T23:26:59.057Z,83,78
1092,4,309,337,337,337,337,309,true,2025-08-16,KvK #4,a,2026-01-25T23:26:59.060Z,2026-01-25T23:26:59.060Z,83,79
1093,4,310,348,310,310,310,348,true,2025-08-16,KvK #4,a,2026-01-25T23:26:59.062Z,2026-01-25T23:26:59.062Z,82,77
